"normal_median","tumor_median","surv_cutoff","tumor_type"
8.79479793498,8.820450238755,8.8927,"BLCA"
8.70388111522,8.674916257265,8.6101,"BRCA"
8.82694692116,8.49171640722,7.7767,"CESC"
8.67916302363,8.98882894906,8.7056,"COAD"
8.81925112611,8.362882753635,8.1548,"GBM"
9.120171489005,8.6954242966,8.2558,"HNSC"
8.7048406116,8.655164796995,8.7929,"KIRC"
8.90090256701,9.21630934661,8.8142,"KIRP"
8.565013991995,8.9751996841,8.7071,"LIHC"
8.76169283565,8.79539390295,9.1409,"LUAD"
8.84511552888,8.77768271707,9.2358,"LUSC"
8.79819182143,9.09935918979,9.6686,"SKCM"
8.62689611244,8.79288007366,2.6921,"STAD"
